ID,OfficialName,AlsoKnownAs,Elevation_m,Country,Region
1,Malojapass,Pass da Maloja; Passo del Maloja,1815,Switzerland,Graubünden
2,Julierpass,Pass dal Güglia,2284,Switzerland,Graubünden
3,Albulapass,Pass d'Alvra,2315,Switzerland,Graubünden
4,Passo di Foscagno,,2291,Italy,Sondrio
5,Berninapass,Pass dal Bernina; Passo del Bernina,2328,Switzerland,Graubünden
6,Forcola di Livigno,Livigno Pass; Fuorcla da Livign,2315,Italy / Switzerland,Sondrio / Graubünden
7,Passo di Gavia,,2621,Italy,Sondrio / Brescia
8,Passo del Mortirolo,Passo della Foppa,1852,Italy,Sondrio / Brescia
9,Passo del Tonale,Tonalepass,1883,Italy,Trento / Brescia
10,Umbrailpass,Passo dell'Umbrail; Giogo di Santa Maria,2501,Switzerland,Graubünden (Italian border)
11,Passo dello Stelvio,Stilfser Joch,2757,Italy,Sondrio / Bolzano
12,Passo della Mendola,Mendelpass,1363,Italy,Trento / Bolzano
13,Oberalppass,Pass Alpsu,2044,Switzerland,Uri / Graubünden
14,Gotthardpass,Passo del San Gottardo,2106,Switzerland,Uri / Ticino
15,Tremola,Via Tremola (south ramp of Gotthardpass),2106,Switzerland,Ticino
16,Sustenpass,,2224,Switzerland,Bern / Uri
17,Grimselpass,Col du Grimsel,2164,Switzerland,Bern / Valais
18,Furkapass,Col de la Furka,2429,Switzerland,Uri / Valais
19,Jaufenpass,Passo di Monte Giovo,2094,Italy,Bolzano
20,Passo del Rombo,Timmelsjoch,2474,Italy / Austria,Bolzano / Tirol
21,Belvédère du Mont du Chat,Relais du Mont du Chat,1486,France,Savoie
22,L'Alpe d'Huez,,1860,France,Isère
23,Col du Glandon,,1924,France,Savoie
24,Col de la Croix de Fer,,2067,France,Savoie
25,Lacets de Montvernier,,782,France,Savoie
26,Col du Chaussy,,1533,France,Savoie
27,Col de la Madeleine,,1993,France,Savoie
28,Col du Mollard,,1638,France,Savoie
29,Col du Télégraphe,,1566,France,Savoie
30,Col du Galibier,,2642,France,Savoie / Hautes-Alpes
31,Col de Sarenne,,1999,France,Isère
32,Col Luitel,Col du Luitel,1262,France,Isère
33,Col de Chamrousse,,1795,France,Isère
34,Fort du Saint-Eynard,Fort Saint-Eynard,1340,France,Isère
35,Sella del Monte Zoncolan,Monte Zoncolan,1730,Italy,Udine
36,Sella di Razzo,,1760,Italy,Udine
37,Sella Ciampigotto,Passo Ciampigotto,1790,Italy,Udine / Belluno
38,Passo Tre Croci,,1805,Italy,Belluno
39,Passo Giau,,2236,Italy,Belluno
40,Passo Campolongo,Campolongopass,1875,Italy,Belluno / Bolzano
41,Passo Gardena,Grödner Joch; Jëuf de Frara,2121,Italy,Bolzano
42,Passo Sella,Sellajoch; Jëuf de Sela,2244,Italy,Bolzano / Trento
43,Passo Pordoi,Pordoijoch,2239,Italy,Belluno / Trento
44,Passo Duran,Forcella Duran,1601,Italy,Belluno
